intent,text
neither,RT As a woman you should not complain about cleaning up your house as a man you should always take the trash out
offensive,RT boy dats coldtyga dwn bad for cuffin dat hoe in the st place
offensive,RT Dawg RT You ever fuck a bitch and she start to cry You be confused as shit
offensive,RT she look like a tranny
offensive,RT The shit you hear about me might be true or it might be faker than the bitch who told it to ya
offensive,The shit just blows meclaim you so faithful and down for somebody but still fucking with hoes
offensive,I can not just sit up and HATE on another bitch I got too much shit going on
offensive,cause I am tired of you big bitches coming for us skinny girls
offensive,you might not get ya bitch back thats that
offensive,hobbies include fighting Mariam bitch
offensive,Keeks is a bitch she curves everyone lol I walked into a conversation like this Smh
offensive,Murda Gang bitch its Gang Land
offensive,So hoes that smoke are losers yea go on IG
offensive,bad bitches is the only thing that i like
offensive,bitch get up off me
offensive,bitch nigga miss me with it
offensive,bitch plz whatever
offensive,bitch who do you love
offensive,bitches get cut off everyday B
offensive,black bottle a bad bitch
offensive,broke bitch cant tell me nothing
offensive,cancel that bitch like Nino
offensive,cant you see these hoes wont change
offensive,fuck no that bitch dont even suck dick the Kermit videos bout to fuck IG up
offensive,got ya bitch tip toeing on my hardwood floors URL
offensive,her pussy lips like Heaven doors
offensive,hoe what its hitting for
offensive,i met that pussy on Ocean Dr i gave that pussy a pill
offensive,i need a trippy bitch who fuck on Hennessy
offensive,i spend my money how i want bitch its my business
offensive,i txt my old bitch my new bitch pussy wetter
offensive,id say im back to the old me but my old bitches would get excited
offensive,if you aint bout that Murder Game pussy nigga shut up
offensive,if you are toes aint done you pussy stinks
offensive,im done with bitter bitches its a wrap for that if you a angry bird theres a app for that
offensive,is that ya bitch
offensive,it aint nothing to cut a bitch off
offensive,jus meet son now he ya mane ass bitches Shots
offensive,lames crying over hoes thats tears of a clown
offensive,like Snoop said in we dont love these hoes
neither,momma said no pussy cats inside my doghouse
offensive,most hated but the hoes favorite 2MW SevenOne URL
offensive,nice girls bad make me get naughty Bad yello hoe real nice body Down south chick like em real thick URL
offensive,pimps up pimps up hoes down Future voice
offensive,post a picture of that pussy get likes
offensive,pussy is a powerful drug HappyHumpDay URL
offensive,quick piece of pussy call it a drive by
offensive,running round here like some brand new pussy thats bout to get fucked
offensive,these bitches even worst they will send them guys for you
offensive,these hoes like niggas that spend money not talk bout it
offensive,we dont trust these niggas all these bitches
offensive,yall niggas b cuffing hoes cause yall aint never have bitches
offensive,you dodge a bullet All da bitches I cut off pregnant or bound to be thank God
offensive,young Pill Chamberlain these bitches love my music
offensive,Teanna Trump probably cleaner than most of these twitter hoes but
offensive,Gay niggas could not wait to act like bitches tonight
